date,league,home,away,market,selection,line,odds_open,stake,result,pnl,equity,p_model,p_mkt
2025-09-13,I1,Cagliari,Parma,1X2,D,,3.2,19.09689930891669,LOSS,-19.09689930891669,1037.2984620255593,0.6232056021690369,0.2960979342004591
2025-09-13,D1,Mainz,RB Leipzig,1X2,H,,2.55,25.745218791427188,LOSS,-25.745218791427188,1011.5532432341321,0.769315779209137,0.3734248358279596
2025-09-13,SP1,Ath Bilbao,Alaves,1X2,D,,3.9,11.261019644153455,LOSS,-11.261019644153455,1000.2922235899787,0.6703073382377625,0.24296844051234656
2025-09-13,E0,Everton,Aston Villa,1X2,D,,3.3,7.908067002043925,WIN,18.188554104701026,1018.4807776946797,0.578533947467804,0.28695476575121165
2025-09-13,SP1,Getafe,Oviedo,OU2.5,Over,2.5,2.75,5.0011272698657425,LOSS,-5.0011272698657425,1013.4796504248139,0.5198757156726752,0.3436754176610979
2025-09-14,F1,Paris SG,Lens,1X2,D,,5.75,7.6514027594166425,LOSS,-7.6514027594166425,1005.8282476653973,0.4857458472251892,0.16420428824231448
2025-09-14,F1,Rennes,Lyon,1X2,H,,2.63,19.297026565647126,WIN,31.454153302004812,1037.282400967402,0.974750816822052,0.36206590546056916
2025-09-14,SP1,Osasuna,Vallecano,1X2,D,,3.2,13.457799420418596,LOSS,-13.457799420418596,1023.8246015469834,0.5354922413825989,0.29776525065431847
2025-09-14,SP1,Celta,Girona,AH,Home,-0.75,1.9,17.44081004830691,WIN,15.69672904347622,1039.5213305904597,0.8490834325324187,
2025-09-14,F1,Lille,Toulouse,1X2,D,,3.8,25.85384301134669,LOSS,-25.85384301134669,1013.667487579113,0.7213062644004822,0.24901185770750991
2025-09-14,F1,Brest,Paris FC,1X2,D,,3.5,5.596794399891273,LOSS,-5.596794399891273,1008.0706931792217,0.48290470242500305,0.2714007782101167
2025-09-14,F1,Metz,Angers,OU2.5,Over,2.5,2.1,1.8664029442870427,LOSS,-1.8664029442870427,1006.2042902349347,0.5246811050768512,0.4516971279373368
2025-09-14,F1,Strasbourg,Le Havre,1X2,A,,5.5,8.53188572330115,LOSS,-8.53188572330115,997.6724045116335,0.5286977291107178,0.17330837122225196
2025-09-14,I1,Milan,Bologna,AH,Home,-0.5,1.93,3.9531897067570227,WIN,3.676466427284031,1001.3488709389176,0.6708826411779255,
2025-09-14,SP1,Barcelona,Valencia,AH,Home,-2.0,1.93,11.963888995178891,WIN,11.126416765516367,1012.475287704434,0.9787120780106768,
2025-09-14,D1,M'gladbach,Werder Bremen,1X2,A,,3.4,20.24950575408868,WIN,48.59881380981283,1061.0741015142469,1.0,0.276595744680851
2025-09-14,I1,Pisa,Udinese,1X2,D,,3.1,21.3122796053156,LOSS,-21.3122796053156,1039.7618219089313,0.6627395153045654,0.30726256983240224
2025-09-14,I1,Atalanta,Lecce,AH,Home,-1.25,1.9,23.063697332081933,WIN,20.757327598873736,1060.519149507805,0.9466008598567357,
2025-09-14,I1,Roma,Torino,1X2,D,,4.1,15.878488012013284,LOSS,-15.878488012013284,1044.6406614957916,0.5269168019294739,0.23153252480705624
2025-09-15,I1,Verona,Cremonese,1X2,D,,3.1,11.055745299478728,WIN,23.21706512890533,1067.8577266246969,0.5018139481544495,0.3056915790318696
2025-09-15,I1,Como,Genoa,OU2.5,Over,2.5,2.1,4.653783077053226,LOSS,-4.653783077053226,1063.2039435476436,0.5332602486125286,0.4516971279373368
2025-09-15,SP1,Espanol,Mallorca,OU2.5,Over,2.5,2.3,7.088039994900093,WIN,9.214451993370119,1072.4183955410138,0.5289856893861347,0.413265306122449
2025-09-19,I1,Lecce,Cagliari,1X2,A,,2.75,10.611299627138969,WIN,18.569774347493194,1090.988169888507,0.5210526585578918,0.344454984121747
2025-09-19,SP1,Betis,Sociedad,AH,Home,-0.5,1.93,18.353018164426413,WIN,17.068306892916564,1108.0564767814235,0.8423795628445524,
2025-09-20,D1,Hamburg,Heidenheim,1X2,D,,3.6,18.859287810446382,LOSS,-18.859287810446382,1089.197188970977,0.5850860476493835,0.2642238998342846
2025-09-20,E0,Man United,Chelsea,1X2,H,,2.6,12.56146758770667,WIN,20.09834814033067,1109.2955371113078,0.5620427131652832,0.3642410015649452
2025-09-20,E0,Wolves,Leeds,1X2,D,,3.2,17.54097342105174,LOSS,-17.54097342105174,1091.754563690256,0.5842810273170471,0.2986125075407199
2025-09-20,E0,West Ham,Crystal Palace,1X2,A,,2.38,43.67018254761024,WIN,60.264851915702124,1152.019415605958,1.0,0.39898038346447967
2025-09-20,I1,Bologna,Genoa,1X2,D,,3.2,20.51032614036371,LOSS,-20.51032614036371,1131.5090894655943,0.6185028553009033,0.2977823236784602
2025-09-20,D1,Hoffenheim,Bayern Munich,OU2.5,Under,2.5,3.75,4.050601968419528,LOSS,-4.050601968419528,1127.4584874971747,0.33229675022416105,0.25595238095238093
2025-09-20,E0,Brighton,Tottenham,1X2,A,,3.0,23.982657269127305,LOSS,-23.982657269127305,1103.4758302280475,0.6878572106361389,0.3180515759312321
2025-09-20,E0,Liverpool,Everton,1X2,D,,4.75,23.049471382215245,LOSS,-23.049471382215245,1080.4263588458323,0.6227906942367554,0.1997350993377483
2025-09-20,I1,Udinese,Milan,OU2.5,Over,2.5,2.1,5.066878748710623,WIN,5.573566623581686,1085.999925469414,0.5376032537211431,0.4516971279373368
2025-09-20,F1,Nantes,Rennes,1X2,H,,3.5,41.14271748760034,LOSS,-41.14271748760034,1044.8572079818136,0.9622257351875305,0.27055702917771884
2025-09-20,D1,Werder Bremen,Freiburg,1X2,A,,2.8,25.56242588470378,WIN,46.012366592466805,1090.8695745742805,0.7503302693367004,0.33849557522123896
2025-09-20,I1,Verona,Juventus,1X2,D,,3.9,22.560272867341165,WIN,65.42479131528938,1156.29436588957,0.6408647298812866,0.2429467084639499
2025-09-20,F1,Brest,Nice,1X2,H,,2.63,46.2517746355828,WIN,75.39039265599996,1231.6847585455698,1.0,0.3619297617627173
2025-09-20,SP1,Villarreal,Osasuna,AH,Home,-1.0,1.95,18.30721026380845,WIN,17.391849750618025,1249.076608296188,0.8024692154168197,
2025-09-20,D1,Augsburg,Mainz,1X2,A,,2.6,47.56090845606981,WIN,76.0974535297117,1325.1740618258996,0.9704131484031677,0.36661341853035145
2025-09-20,D1,RB Leipzig,FC Koln,OU2.5,Under,2.5,2.5,6.985125959542823,LOSS,-6.985125959542823,1318.1889358663568,0.4790665108919917,0.3796526054590571
2025-09-20,SP1,Valencia,Ath Bilbao,1X2,D,,3.0,16.692043724286794,LOSS,-16.692043724286794,1301.49689214207,0.5443810224533081,0.31481481481481477
2025-09-20,SP1,Alaves,Sevilla,1X2,D,,3.1,27.43695032800257,LOSS,-27.43695032800257,1274.0599418140675,0.6795988082885742,0.3064202334630351
2025-09-20,SP1,Girona,Levante,1X2,A,,4.0,29.722800143270604,WIN,89.16840042981181,1363.2283422438793,0.687422513961792,0.23779222575736617
2025-09-21,D1,Ein Frankfurt,Union Berlin,AH,Home,-1.0,1.93,23.75068963209313,PUSH,0.0,1363.2283422438793,0.8539444241774018,
2025-09-21,D1,Leverkusen,M'gladbach,AH,Home,-1.0,1.93,27.030355104701187,WIN,25.138230247372103,1388.3665724912514,0.9003154359472041,
